sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
jhotdraw;net.n3.nanoxml.NonValidator;0;0;1;1;1;1;65;4;7;0.64444447;0;1;314;15;FeLm
jhotdraw;org.jhotdraw.draw.locator.BezierLabelLocator;0;0;1;1;1;1;22;3;8;0.375;0;1;82;8;FeLm
jhotdraw;org.jhotdraw.app.MDIApplication;0;0;1;1;2;2;61;4;18;0.8631579;0;4;435;19;FeLm
jhotdraw;org.jhotdraw.draw.handle.BezierControlPointHandle;0;0;1;1;1;1;54;2;15;0.70588243;0;2;243;17;FeLm
jhotdraw;org.jhotdraw.draw.handle.BezierNodeHandle;0;0;1;1;1;1;86;2;16;0.7361111;0;2;276;18;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteListCellRenderer;0;0;1;1;2;1;19;2;2;0.6666667;0;6;68;3;FeLm
jhotdraw;org.jhotdraw.draw.TextAreaFigure;0;0;1;1;5;1;77;5;17;0.8958333;0;5;297;36;FeLm
jhotdraw;org.jhotdraw.xml.NanoXMLDOMInput;0;0;1;1;2;1;45;3;8;0.7368421;0;1;149;19;FeLm
jhotdraw;org.jhotdraw.draw.DefaultDrawingViewTransferHandler;0;0;1;1;1;1;85;9;14;0.61538464;0;3;508;13;FeLm
jhotdraw;org.jhotdraw.color.ColorTrackImageProducer;0;0;1;1;3;1;25;2;6;0.75384617;0;2;103;13;FeLm
jhotdraw;org.jhotdraw.draw.handle.BoundsOutlineHandle;0;0;1;1;1;1;19;2;6;0.6666666;0;2;115;9;FeLm
jhotdraw;org.jhotdraw.draw.io.ImageInputFormat;0;0;1;1;1;1;27;3;7;0.7571429;0;1;112;14;FeLm
jhotdraw;org.jhotdraw.draw.handle.RoundRectangleRadiusHandle;0;0;1;1;1;1;17;2;12;0.7777778;0;2;101;9;FeLm
jhotdraw;org.jhotdraw.draw.io.ImageOutputFormat;0;0;1;1;1;1;27;2;7;0.85;0;1;134;15;FeLm
jhotdraw;org.jhotdraw.draw.layouter.HorizontalLayouter;0;0;1;1;2;1;10;3;7;0.0;0;2;47;2;FeLm
jhotdraw;org.jhotdraw.color.JHarmonicColorWheel;0;0;1;1;2;1;31;5;11;0.84615386;0;6;236;13;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteSliderUI;0;0;1;1;5;1;22;2;3;0.93333334;0;4;175;10;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteFontChooserUI;0;0;1;1;3;1;89;4;11;0.71875;0;3;382;16;FeLm
jhotdraw;org.jhotdraw.app.action.app.ExitAction;0;0;1;1;1;1;35;4;10;0.6666667;0;3;260;10;FeLm
jhotdraw;org.jhotdraw.app.OSXApplication;0;0;1;1;4;1;75;4;19;0.88461536;0;4;470;26;FeLm
jhotdraw;org.jhotdraw.draw.layouter.VerticalLayouter;0;0;1;1;2;1;12;3;7;1.0;0;2;54;2;FeLm
jhotdraw;org.jhotdraw.util.ResourceBundleUtil;0;0;1;1;1;1;79;4;2;0.8138528;0;1;296;33;FeLm
jhotdraw;org.jhotdraw.geom.Bezier;0;0;1;1;20;1;98;4;6;0.0;0;1;452;37;FeLm
jhotdraw;org.jhotdraw.draw.print.DrawingPageable;0;0;1;1;1;1;16;3;5;0.6666667;0;1;73;6;FeLm
jhotdraw;org.jhotdraw.xml.JavaxDOMInput;0;0;1;1;2;1;55;3;9;0.77;0;1;195;20;FeLm
jhotdraw;org.jhotdraw.app.SDIApplication;0;0;1;1;3;1;66;4;10;0.85714287;0;3;313;21;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteTabbedPaneUI;0;0;1;1;2;5;108;3;5;0.8854167;0;5;344;16;FeLm
jhotdraw;org.jhotdraw.draw.AttributeKeys;0;0;1;1;4;3;47;3;19;0.9250647;0;1;241;9;FeLm
