sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Node;0;0;1;1;3;3;29;111;2;92;4;438;46;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Window;0;1;1;1;5;3;65;214;2;147;4;844;115;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLDocument;0;0;1;1;2;2;29;40;5;49;2;172;21;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLHttpRequest;0;0;1;1;1;1;30;92;3;77;3;403;29;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLSerializer;0;0;1;1;1;1;15;29;2;30;5;88;3;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.NamedNodeMap;0;1;1;0;1;0;14;32;2;28;3;103;13;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.javascript.ProxyAutoConfig;0;0;1;1;3;4;6;65;1;55;2;297;20;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.ScriptException;0;0;1;1;1;1;6;31;4;34;2;136;12;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.util.FalsifyingWebConnection;0;1;1;0;3;0;9;6;2;13;0;31;6;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.WebClient;1;0;1;1;4;1;71;272;1;205;6;1059;117;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.WebRequest;0;0;1;1;1;1;9;53;1;47;3;198;31;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.xml.XmlUtil;0;0;1;1;3;1;28;31;1;49;3;140;8;HetAgg
jasperreports;net.sf.jasperreports.ant.JRAntCompileTask;0;0;1;1;1;1;12;42;2;46;3;152;14;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseAreaPlot;0;1;1;0;1;0;15;40;2;34;1;174;32;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseBubblePlot;0;1;1;0;2;0;16;49;2;41;1;201;37;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseCandlestickPlot;0;1;1;0;1;0;15;45;2;37;1;190;35;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseHighLowPlot;0;1;1;0;1;0;15;50;2;39;1;209;39;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseLinePlot;0;1;1;0;1;0;15;52;2;41;1;218;41;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseMeterPlot;0;1;1;0;2;0;16;34;2;33;2;131;20;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBasePie3DPlot;0;1;1;0;1;0;9;22;2;13;1;94;18;HetAgg
