firstAgg,secondAgg,cdCBO,mannCBO,cdDIT,mannDIT,cdmaxNest,mannmaxNest,cdRFC,mannRFC,cdWMC,mannWMC
LcRb,RbLm,0.1264705882352941,FAILED,0.03602941176470588,FAILED,-0.11691176470588235,FAILED,0.4625,SUCCESS,0.6897058823529412,SUCCESS
LcRb,RbLmFe,0.06354166666666666,FAILED,0.05625,FAILED,-0.353125,FAILED,0.07604166666666666,FAILED,0.1875,FAILED
LcRbFe,FeLm,0.5506008855154966,SUCCESS,0.3460889732236981,SUCCESS,0.1841661395741092,FAILED,0.6843769765970904,SUCCESS,0.8514653173097196,SUCCESS
LcRbFe,LcFe,0.16801899861468433,FAILED,0.4783297051256679,SUCCESS,0.08925390856916683,FAILED,0.1842469819908965,FAILED,0.21492182861666337,FAILED
LcRbFe,LcLm,0.38213399503722084,SUCCESS,0.5359801488833746,SUCCESS,0.03163771712158809,FAILED,0.542803970223325,SUCCESS,0.6023573200992556,SUCCESS
LcRbFe,LcLmFe,0.06342877854295034,FAILED,0.36063791228706055,SUCCESS,-0.2218194998187749,FAILED,-0.04929322218194998,FAILED,0.03515766582094962,FAILED
LcRbFe,LcRb,0.23709677419354838,FAILED,-0.08870967741935484,FAILED,0.3919354838709677,FAILED,0.4096774193548387,FAILED,0.55,SUCCESS
LcRbFe,LcRbLm,0.3588709677419355,FAILED,-0.016129032258064516,FAILED,-0.3225806451612903,FAILED,0.4435483870967742,FAILED,0.6370967741935484,SUCCESS
LcRbFe,LcRbLmFe,-0.33763440860215055,FAILED,-0.012903225806451613,FAILED,-0.4043010752688172,FAILED,-0.38064516129032255,FAILED,0.12258064516129032,FAILED
LcRbFe,RbFe,0.6516129032258065,SUCCESS,0.03510436432637571,FAILED,0.5787476280834914,SUCCESS,0.7888045540796964,SUCCESS,0.8920303605313094,SUCCESS
LcRbFe,RbLm,0.49620493358633777,SUCCESS,-0.04838709677419355,FAILED,0.2808349146110057,FAILED,0.816888045540797,SUCCESS,0.9449715370018975,SUCCESS
LcRbFe,RbLmFe,0.4415322580645161,SUCCESS,-0.049059139784946235,FAILED,-0.06518817204301075,FAILED,0.592741935483871,SUCCESS,0.6397849462365591,SUCCESS
LcRbLm,FeLm,0.2651143790849673,FAILED,0.34395424836601307,FAILED,0.4579248366013072,FAILED,0.4199346405228758,FAILED,0.6650326797385621,FAILED
LcRbLm,LcFe,-0.1058282208588957,FAILED,0.48466257668711654,FAILED,0.3427914110429448,FAILED,-0.09969325153374232,FAILED,-0.19171779141104295,FAILED
LcRbLm,LcLm,0.05048076923076923,FAILED,0.5384615384615384,FAILED,0.30288461538461536,FAILED,0.31971153846153844,FAILED,0.18509615384615385,FAILED
LcRbLm,LcLmFe,-0.22893258426966293,FAILED,0.3609550561797753,FAILED,0.05196629213483146,FAILED,-0.40308988764044945,FAILED,-0.44662921348314605,FAILED
LcRbLm,LcRb,0.00625,FAILED,-0.05625,FAILED,0.66875,FAILED,0.0375,FAILED,0.15,FAILED
LcRbLm,LcRbFe,-0.3588709677419355,FAILED,0.016129032258064516,FAILED,0.3225806451612903,FAILED,-0.4435483870967742,FAILED,-0.6370967741935484,SUCCESS
LcRbLm,LcRbLmFe,-0.6166666666666667,FAILED,0.008333333333333333,FAILED,-0.16666666666666666,FAILED,-0.6083333333333333,FAILED,-0.35,FAILED
LcRbLm,RbFe,0.3522058823529412,FAILED,0.027941176470588237,FAILED,0.8044117647058824,SUCCESS,0.6257352941176471,FAILED,0.7705882352941177,SUCCESS
LcRbLm,RbLm,0.1488970588235294,FAILED,-0.042279411764705885,FAILED,0.5588235294117647,FAILED,0.6231617647058824,FAILED,0.8823529411764706,SUCCESS
LcRbLm,RbLmFe,0.08333333333333333,FAILED,-0.078125,FAILED,0.15625,FAILED,0.2838541666666667,FAILED,0.3229166666666667,FAILED
LcRbLmFe,FeLm,0.7289760348583878,SUCCESS,0.35381263616557734,FAILED,0.5043572984749455,SUCCESS,0.789760348583878,SUCCESS,0.7457516339869281,SUCCESS
LcRbLmFe,LcFe,0.43803680981595094,FAILED,0.481799591002045,SUCCESS,0.39918200408997956,FAILED,0.3971370143149284,FAILED,0.08793456032719836,FAILED
LcRbLmFe,LcLm,0.6064102564102564,SUCCESS,0.5423076923076923,SUCCESS,0.3935897435897436,FAILED,0.658974358974359,SUCCESS,0.42948717948717946,FAILED
LcRbLmFe,LcLmFe,0.37453183520599254,FAILED,0.36629213483146067,FAILED,0.15205992509363295,FAILED,0.26741573033707866,FAILED,-0.08913857677902622,FAILED
LcRbLmFe,LcRb,0.54,FAILED,-0.06666666666666667,FAILED,0.6866666666666666,SUCCESS,0.59,SUCCESS,0.44,FAILED
LcRbLmFe,LcRbFe,0.33763440860215055,FAILED,0.012903225806451613,FAILED,0.4043010752688172,FAILED,0.38064516129032255,FAILED,-0.12258064516129032,FAILED
LcRbLmFe,LcRbLm,0.6166666666666667,FAILED,-0.008333333333333333,FAILED,0.16666666666666666,FAILED,0.6083333333333333,FAILED,0.35,FAILED
LcRbLmFe,RbFe,0.7909803921568628,SUCCESS,0.04666666666666667,FAILED,0.7913725490196079,SUCCESS,0.8607843137254902,SUCCESS,0.8325490196078431,SUCCESS
LcRbLmFe,RbLm,0.711764705882353,SUCCESS,-0.03333333333333333,FAILED,0.5872549019607843,SUCCESS,0.884313725490196,SUCCESS,0.8960784313725491,SUCCESS
LcRbLmFe,RbLmFe,0.6444444444444445,SUCCESS,-0.029166666666666667,FAILED,0.25555555555555554,FAILED,0.6972222222222222,SUCCESS,0.5055555555555555,FAILED
RbFe,FeLm,-0.06407151095732411,FAILED,0.3293156478277586,SUCCESS,-0.3854094579008074,SUCCESS,-0.24405997693194925,SUCCESS,-0.17793156478277586,SUCCESS
RbFe,LcFe,-0.3481775532298809,SUCCESS,0.47914110429447854,SUCCESS,-0.4451822446770119,SUCCESS,-0.5634067123782028,SUCCESS,-0.7085528690003609,SUCCESS
RbFe,LcLm,-0.27341628959276015,SUCCESS,0.5037330316742081,SUCCESS,-0.46968325791855203,SUCCESS,-0.33608597285067876,SUCCESS,-0.5156108597285067,SUCCESS
RbFe,LcLmFe,-0.47290152015862524,SUCCESS,0.348512888301388,SUCCESS,-0.7184401850627892,SUCCESS,-0.7713813615333774,SUCCESS,-0.835822868473232,SUCCESS
RbFe,LcRb,-0.2585294117647059,FAILED,-0.12764705882352942,FAILED,-0.21205882352941177,FAILED,-0.4373529411764706,SUCCESS,-0.633235294117647,SUCCESS
RbFe,LcRbFe,-0.6516129032258065,SUCCESS,-0.03510436432637571,FAILED,-0.5787476280834914,SUCCESS,-0.7888045540796964,SUCCESS,-0.8920303605313094,SUCCESS
RbFe,LcRbLm,-0.3522058823529412,FAILED,-0.027941176470588237,FAILED,-0.8044117647058824,SUCCESS,-0.6257352941176471,FAILED,-0.7705882352941177,SUCCESS
RbFe,LcRbLmFe,-0.7909803921568628,SUCCESS,-0.04666666666666667,FAILED,-0.7913725490196079,SUCCESS,-0.8607843137254902,SUCCESS,-0.8325490196078431,SUCCESS
RbFe,RbLm,-0.22508650519031143,FAILED,-0.06937716262975778,FAILED,-0.32673010380622836,SUCCESS,0.02422145328719723,FAILED,-0.030190311418685122,FAILED
RbFe,RbLmFe,-0.29007352941176473,SUCCESS,-0.09705882352941177,FAILED,-0.48651960784313725,SUCCESS,-0.44019607843137254,SUCCESS,-0.40012254901960786,SUCCESS
RbLm,FeLm,0.1383121876201461,FAILED,0.3695213379469435,SUCCESS,-0.08169934640522876,FAILED,-0.27484621299500195,SUCCESS,-0.19290657439446368,FAILED
RbLm,LcFe,-0.20434861060988813,FAILED,0.5017141826055576,SUCCESS,-0.1581559003969686,FAILED,-0.5826416456153013,SUCCESS,-0.7549621075424034,SUCCESS
