sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
libgdx;com.badlogic.gdx.math.Bezier;0;0;1;0;5;0;7;36;1;24;3;0.0;101;18;AggFE
libgdx;com.badlogic.gdx.math.BSpline;0;0;1;0;3;0;6;63;1;24;2;0.0;178;22;AggFE
libgdx;com.badlogic.gdx.math.CatmullRomSpline;0;0;1;0;2;0;5;50;1;18;2;0.0;137;18;AggFE
libgdx;com.badlogic.gdx.math.collision.BoundingBox;0;0;1;0;6;0;5;69;1;16;1;0.0;165;40;AggFE
libgdx;com.badlogic.gdx.math.Frustum;0;0;1;0;3;0;7;45;1;14;2;0.0;98;11;AggFE
libgdx;com.badlogic.gdx.scenes.scene2d.actions.Actions;0;0;1;0;2;0;38;77;1;69;1;0.0;377;75;AggFE
libgdx;com.badlogic.gdx.scenes.scene2d.actions.SequenceAction;0;0;1;0;2;0;4;12;3;6;3;0.0;50;8;AggFE
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Dialog;0;0;1;0;2;0;21;41;6;55;2;0.0;175;23;AggFE
libgdx;com.badlogic.gdx.scenes.scene2d.utils.Selection;0;0;1;0;2;0;13;93;1;21;4;0.0;229;35;AggFE
libgdx;com.badlogic.gdx.scenes.scene2d.utils.SpriteDrawable;0;0;1;0;2;0;7;9;2;27;1;0.0;54;8;AggFE
libgdx;com.badlogic.gdx.utils.TextFormatter;0;0;1;0;2;0;3;28;1;11;4;0.0;86;4;AggFE
