sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
struts;org.apache.struts2.interceptor.ExecuteAndWaitInterceptor;0;1;0;1;0;1;17;34;3;34;3;107;11;RbLm
struts;org.apache.struts2.interceptor.TokenSessionStoreInterceptor;0;1;0;1;0;1;10;7;4;20;4;39;2;RbLm
struts;org.apache.struts2.util.SubsetIteratorFilter;0;1;0;1;0;1;6;25;2;17;4;92;9;RbLm
struts;org.apache.struts2.config_browser.ShowConfigAction;0;1;0;1;0;1;10;15;3;15;1;64;13;RbLm
struts;org.apache.struts2.oval.interceptor.OValValidationInterceptor;0;1;0;1;0;1;25;35;3;57;4;150;10;RbLm
struts;org.apache.struts2.s1.ActionFormValidationInterceptor;0;1;0;1;0;1;27;24;2;36;3;107;8;RbLm
tomcat;javax.el.BeanELResolver;0;1;0;1;0;1;0;64;2;38;3;325;11;RbLm
tomcat;org.apache.catalina.authenticator.AuthenticatorBase;0;1;0;1;0;1;19;99;4;79;5;314;28;RbLm
tomcat;org.apache.catalina.valves.RemoteIpValve;0;1;0;1;0;1;11;47;4;46;3;195;22;RbLm
weka;weka.attributeSelection.RandomSearch;0;1;0;1;0;2;15;70;2;46;5;297;27;RbLm
weka;weka.attributeSelection.Ranker;0;1;0;1;0;1;16;76;2;35;3;275;27;RbLm
weka;weka.attributeSelection.RankSearch;0;1;0;1;0;1;21;51;2;45;2;226;20;RbLm
weka;weka.classifiers.meta.AttributeSelectedClassifier;0;1;0;1;0;1;22;60;3;65;3;240;27;RbLm
weka;weka.classifiers.meta.Bagging;0;1;0;1;0;1;19;53;5;53;5;221;21;RbLm
weka;weka.classifiers.trees.j48.BinC45ModelSelection;0;1;0;1;0;1;10;24;2;27;5;74;5;RbLm
weka;weka.classifiers.trees.j48.C45ModelSelection;0;1;0;1;0;1;10;27;2;27;6;83;5;RbLm
weka;weka.gui.treevisualizer.TreeVisualizer;0;1;0;1;0;1;17;218;6;106;4;1105;28;RbLm
